Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1923,AL,75,78,4,4.65,155,6060,5244,720,1436,224,93,26,626,102,68,532,448,.274,.346,.367,.713,216,182,.966,28.1
1922,AL,69,85,6,4.22,154,5885,5201,650,1395,229,76,45,575,97,63,458,442,.268,.334,.367,.702,196,168,.969,28.4
1921,AL,80,73,4,4.57,154,6008,5294,704,1468,240,96,42,609,112,66,462,472,.277,.342,.383,.725,235,153,.963,28.3
1920,AL,68,84,6,4.73,153,5952,5251,723,1526,233,81,36,616,160,114,433,543,.291,.351,.386,.737,232,95,.963,27.1
1919,AL,56,84,7,3.75,142,5390,4757,533,1238,177,63,24,459,142,,416,511,.260,.325,.339,.664,227,86,.960,27.2
1918,AL,72,56,3,3.55,130,5023,4472,461,1144,156,49,4,404,137,,376,361,.256,.318,.315,.634,226,95,.960,28.9
1917,AL,74,79,5,3.46,157,5868,5142,544,1238,173,70,4,462,166,,500,574,.241,.313,.304,.617,251,127,.961,26.5
1916,AL,76,77,7,3.37,159,5901,5114,536,1238,170,60,12,468,185,,535,597,.242,.320,.306,.626,232,119,.964,27.2
1915,AL,85,68,4,3.67,155,5711,5029,569,1225,152,79,12,465,186,106,458,541,.244,.312,.312,.625,230,101,.964,26.8
1914,AL,81,73,3,3.62,158,5815,5108,572,1245,176,81,18,470,220,163,470,640,.244,.313,.320,.634,254,116,.961,26.8
1913,AL,90,64,2,3.85,155,5706,5074,596,1281,156,81,19,484,287,,440,595,.252,.317,.326,.644,261,122,.960,26.3
1912,AL,91,61,2,4.54,154,5726,5075,699,1298,202,86,20,575,273,151,472,738,.256,.324,.341,.665,297,92,.954,25.9
1911,AL,64,90,7,4.05,154,5761,5065,624,1308,159,54,16,493,215,,466,632,.258,.330,.320,.651,305,90,.953,28.0
1910,AL,66,85,7,3.19,157,5691,4989,501,1175,145,47,9,393,192,,449,630,.236,.309,.289,.598,264,99,.959,27.9
1909,AL,42,110,8,2.44,156,5541,4983,380,1113,149,41,9,306,136,,321,618,.223,.276,.275,.551,280,100,.957,28.1
1908,AL,67,85,7,3.09,155,5648,5041,479,1186,132,74,8,378,170,,368,597,.235,.293,.296,.588,275,89,.958,28.7
1907,AL,49,102,8,3.29,154,5699,5112,506,1243,134,57,12,414,223,,390,627,.243,.304,.299,.603,310,69,.951,29.4
1906,AL,55,95,7,3.44,151,5455,4956,519,1180,144,65,26,433,233,,306,600,.238,.289,.309,.598,279,78,.955,29.6
1905,AL,64,87,7,3.63,154,5528,5015,559,1121,193,68,22,483,169,,298,818,.224,.274,.302,.577,318,76,.951,27.3
1904,AL,38,113,8,2.78,157,5606,5149,437,1170,171,57,10,348,150,,283,756,.227,.275,.288,.564,314,97,.951,27.9
1903,AL,43,94,8,3.12,140,4990,4613,437,1066,172,72,17,372,131,,257,466,.231,.277,.311,.588,260,86,.954,29.1
1902,AL,61,75,6,5.12,138,5188,4734,707,1338,261,66,47,606,121,,329,292,.283,.335,.395,.730,316,70,.945,30.5
1901,AL,61,72,6,4.94,138,5259,4772,682,1282,191,83,33,561,127,,356,339,.269,.326,.364,.690,323,97,.943,28.5
